codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
16-01-0710-46,16-031,Alta Verapaz,Coban,Oxford Bilingual School,2Da. Calle 16-94 Zona 4, 7951-3898,Patricio Najarro Asencio,Darwin Roberto Iglesias De La Cruz,Diversificado,Privado,Urbana,Abierta,Bilingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0712-46,16-050,Alta Verapaz,Coban,Enbi Centro De Educación Extraescolar -Ceex-,10 Avenida 1-25 Zona 3, 7952-1302,Maximiliano Chub Ical,Anabela Cecilia Bol Caal,Diversificado,Oficial,Urbana,Abierta,Bilingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0909-46,16-031,Alta Verapaz,Coban,"Isea ""La Escuela En Su Casa""","2A. Calle ""A"" 11-10, Zona 1", 7725-6954,Patricio Najarro Asencio,Ludwing Joel Noriega Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0910-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,"12 Avenida 2-12, Zona 1", 7952-1765,Patricio Najarro Asencio,Héctor Vidal Bol Cú,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0912-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,"2A. Calle 12-23, Zona 4", 7951-1459,Patricio Najarro Asencio,Daniel Bernardo Ramirez González,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0913-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,"Diagonal 1 1-26, Zona 1", 5958-4790,Patricio Najarro Asencio,Samantha Gabriela De La Cruz Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0915-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Santo Domingo,"2A. Calle 11-10, Zona 2", 7952-9830,Patricio Najarro Asencio,América Nuila Luther,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0917-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Monja Blanca,"Diagonal 3 14-11, Zona 2", 7951-3896,Patricio Najarro Asencio,Edwin Armando Catún Caal,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0918-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario De Norte,"3A. Avenida 8-32, Zona 10", 7941-7346,Patricio Najarro Asencio,Zoila Imena López Rodas,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0919-46,16-031,Alta Verapaz,Coban,"Liceo Mixto Particular ""San Benito""","9A. Avenida 4-55, Zona 4", 3705-8145,Patricio Najarro Asencio,Henri Marco Artola Teyul,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
